GOLD TO USD SPOT RATE FROM BLOOMBERG,,,,
Date,Open,High,Low,Close
2019-11-28,1454.44,1458.33,1454.16,1456.27
2019-11-27,1461.39,1462.05,1452.67,1454.44
2019-11-26,1455.26,1462.97,1450.13,1461.39
2019-11-25,1461.3,1462.19,1454.11,1455.26
2019-11-22,1464.41,1473.28,1461.4,1461.93
2019-11-21,1471.61,1475.72,1462.43,1464.41
2019-11-20,1472.46,1478.92,1466.04,1471.61
2019-11-19,1471.51,1475.46,1464.88,1472.46
2019-11-18,1468.07,1474.05,1456.44,1471.51
2019-11-15,1471.4,1471.59,1462.48,1468.21
2019-11-14,1463.58,1474.72,1461.22,1471.4
2019-11-13,1456.32,1467.12,1455.87,1463.58
2019-11-12,1455.86,1460.49,1445.7,1456.32
2019-11-11,1459.81,1466.5,1448.29,1455.86
2019-11-08,1468.49,1473.01,1456.31,1459
2019-11-07,1490.57,1492.24,1460.7,1468.48
2019-11-06,1483.61,1494.26,1482.5,1490.57
2019-11-05,1509.82,1510.03,1479.5,1483.61
2019-11-04,1514.6,1514.88,1504.5,1509.82
2019-11-01,1512.99,1516.13,1503.36,1514.34
2019-10-31,1495.66,1514.29,1493.58,1512.99
2019-10-30,1487.72,1496.68,1481.33,1495.66
2019-10-29,1492.51,1494.83,1483.72,1487.72
2019-10-28,1504.72,1508.24,1490.09,1492.51
2019-10-25,1503.98,1518.02,1500.71,1504.63
2019-10-24,1492.12,1504.1,1488.09,1503.98
2019-10-23,1487.68,1496.35,1487.6,1492.12
2019-10-22,1484.5,1489.05,1480.91,1487.68
2019-10-21,1491,1495.28,1481.67,1484.5
2019-10-18,1491.85,1494.18,1484.95,1490.05
2019-10-17,1490.13,1497.45,1483.54,1491.87
2019-10-16,1481.01,1491.64,1477.11,1490.13
2019-10-15,1493.21,1498.53,1477.29,1481.01
2019-10-14,1488.44,1497.18,1482.93,1493.21
2019-10-11,1494.01,1503.23,1474.08,1489.01
2019-10-10,1505.57,1517.14,1491.23,1493.99
2019-10-09,1505.56,1512.44,1499.94,1505.57
2019-10-08,1493.5,1509.66,1487.03,1505.51
2019-10-07,1511.28,1511.31,1488.09,1493.5
2019-10-04,1505.18,1515.02,1495.97,1504.66
2019-10-03,1499.45,1519.65,1495.89,1505.19
2019-10-02,1479.14,1505.19,1474.59,1499.45
2019-10-01,1472.51,1487.31,1459.14,1479.14
2019-09-30,1495.18,1500.58,1464.55,1472.49
2019-09-27,1504.78,1507.46,1486.95,1497.01
2019-09-26,1504.05,1512.39,1500.61,1504.78
2019-09-25,1531.83,1535.22,1500.53,1504.05
2019-09-24,1522.24,1535.73,1515.7,1531.87
