,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
160,2016-06-01,1282.815651270413,1227.0078076201598,1290.5962094957672,1282.815651270413,1282.815651270413,-21.409661130929784,-21.409661130929784,-21.409661130929784,-9.487546814365047,-9.487546814365047,-9.487546814365047,-11.922114316564736,-11.922114316564736,-11.922114316564736,0.0,0.0,0.0,1261.405990139483
161,2016-06-02,1283.0005229524959,1229.1526665175081,1292.7143986567346,1283.0005229524959,1283.0005229524959,-20.518201426977807,-20.518201426977807,-20.518201426977807,-9.213960470885747,-9.213960470885747,-9.213960470885747,-11.304240956092057,-11.304240956092057,-11.304240956092057,0.0,0.0,0.0,1262.482321525518
162,2016-06-03,1283.1853946345789,1230.925677413303,1295.0296073107243,1283.1853946345789,1283.1853946345789,-18.904139292430926,-18.904139292430926,-18.904139292430926,-8.333847159739141,-8.333847159739141,-8.333847159739141,-10.570292132691785,-10.570292132691785,-10.570292132691785,0.0,0.0,0.0,1264.281255342148
163,2016-06-06,1283.7400096808283,1234.8541830316926,1297.3790542783474,1283.7400096808283,1283.7400096808283,-16.499787162790554,-16.499787162790554,-16.499787162790554,-8.877093458881534,-8.877093458881534,-8.877093458881534,-7.622693703909018,-7.622693703909018,-7.622693703909018,0.0,0.0,0.0,1267.2402225180376
164,2016-06-07,1283.9248813629117,1237.854276087044,1300.920362334426,1283.924881362912,1283.924881362912,-15.853761201976177,-15.853761201976177,-15.853761201976177,-9.467416299069853,-9.467416299069853,-9.467416299069853,-6.386344902906325,-6.386344902906325,-6.386344902906325,0.0,0.0,0.0,1268.0711201609356
165,2016-06-08,1284.1097530449947,1238.520033401799,1301.212376845072,1284.1097530449947,1284.1097530449947,-14.51432940498101,-14.51432940498101,-14.51432940498101,-9.487546814364492,-9.487546814364492,-9.487546814364492,-5.026782590616517,-5.026782590616517,-5.026782590616517,0.0,0.0,0.0,1269.5954236400137
166,2016-06-09,1284.294624727078,1239.7358235430922,1305.8291955317854,1284.294624727078,1284.294624727078,-12.764208698738814,-12.764208698738814,-12.764208698738814,-9.21396047087903,-9.21396047087903,-9.21396047087903,-3.5502482278597847,-3.5502482278597847,-3.5502482278597847,0.0,0.0,0.0,1271.530416028339
167,2016-06-10,1284.1456455230689,1243.8846984918239,1304.8577145187487,1284.1456455230689,1284.1456455230689,-10.299533563692497,-10.299533563692497,-10.299533563692497,-8.333847159717084,-8.333847159717084,-8.333847159717084,-1.9656864039754125,-1.9656864039754125,-1.9656864039754125,0.0,0.0,0.0,1273.8461119593765
168,2016-06-13,1283.6987079110422,1247.4083227707108,1311.7582936404744,1283.6987079110422,1283.6987079110422,-5.568462812360615,-5.568462812360615,-5.568462812360615,-8.877093458835034,-8.877093458835034,-8.877093458835034,3.3086306464744206,3.3086306464744206,3.3086306464744206,0.0,0.0,0.0,1278.1302450986816
169,2016-06-14,1283.5497287070332,1247.2678352718808,1310.9061479339543,1283.5497287070332,1283.5497287070332,-4.280795976806436,-4.280795976806436,-4.280795976806436,-9.467416299077138,-9.467416299077138,-9.467416299077138,5.186620322270703,5.186620322270703,5.186620322270703,0.0,0.0,0.0,1279.2689327302267
170,2016-06-15,1283.4007495030244,1248.5409011683698,1314.055342781555,1283.4007495030244,1283.4007495030244,-2.394286205692663,-2.394286205692663,-2.394286205692663,-9.487546814364855,-9.487546814364855,-9.487546814364855,7.0932606086721925,7.0932606086721925,7.0932606086721925,0.0,0.0,0.0,1281.0064632973317
171,2016-06-16,1283.2517702990153,1249.6726539030353,1315.3391479703414,1283.2517702990153,1283.2517702990153,-0.20601356991243872,-0.20601356991243872,-0.20601356991243872,-9.21396047085956,-9.21396047085956,-9.21396047085956,9.007946900947122,9.007946900947122,9.007946900947122,0.0,0.0,0.0,1283.045756729103
172,2016-06-17,1283.1027910950065,1253.8224307024034,1318.975144532096,1283.1027910950065,1283.1027910950065,2.575669557851974,2.575669557851974,2.575669557851974,-8.333847159695027,-8.333847159695027,-8.333847159695027,10.909516717547003,10.909516717547003,10.909516717547003,0.0,0.0,0.0,1285.6784606528586
173,2016-06-20,1282.6558534829796,1257.3951761010512,1322.1000665201045,1282.6558534829796,1282.6558534829796,7.44954260054455,7.44954260054455,7.44954260054455,-8.877093458856974,-8.877093458856974,-8.877093458856974,16.326636059401523,16.326636059401523,16.326636059401523,0.0,0.0,0.0,1290.1053960835243
174,2016-06-21,1282.5068742789708,1257.9733153158136,1323.0307804735362,1282.5068742789708,1282.5068742789708,8.504155396680458,8.504155396680458,8.504155396680458,-9.467416299068846,-9.467416299068846,-9.467416299068846,17.971571695749304,17.971571695749304,17.971571695749304,0.0,0.0,0.0,1291.0110296756513
